Techs,Count
"[""javascript"", ""react"", ""ruby on rails""]",29
"["" bash"", "" centos"", "" debian"", "" docker"", "" git"", "" kubernetes"", "" ldap"", "" linux"", "" netbox"", "" oidc"", "" ovirt"", "" proxmox"", "" puppet"", "" python"", "" ubuntu"", "" vmware"", ""ansible""]",5
"[""api"", ""javascript"", ""react""]",5
"[""c++"", ""python""]",5
"[""java""]",5
"[""software""]",5
"[""ai""]",4
"[""android""]",4
"[""aws"", ""cdk"", ""dynamodb"", ""java"", ""typescript""]",4
"[""aws"", ""javascript"", ""node.js"", ""postgresql"", ""reactjs"", ""typescript""]",4
"[""c++"", ""java"", ""python""]",4
"[""cnc""]",4
"[""machine learning""]",4
"[""python""]",4
"[""software development""]",4
"["".net""]",3
"[""angular"", ""css"", ""html"", ""javascript"", ""node.js"", ""react"", ""vue.js""]",3
"[""autocad"", ""revit""]",3
"[""autocad""]",3
"[""aw""]",3
"[""aws"", ""c#"", ""c++"", ""java""]",3
"[""c"", ""c++"", ""linux""]",3
"[""c"", ""c++"", ""rust""]",3
"[""c""]",3
"[""c#"", ""c++"", ""java""]",3
"[""c++""]",3
"[""computer science""]",3
"[""css"", ""git"", ""html"", ""javascript"", ""sql""]",3
"[""excel""]",3
"[""java"", ""python""]",3
"[""java"", ""sprint boot""]",3
"[""python"", ""sql""]",3
"["" ai"", "" azure"", "" cloud"", "" endpoint managemen"", "" security"", ""networking""]",2
"["" ai"", "" servicenow"", ""salesforce""]",2
"["" airflow"", "" aws"", "" azure"", "" cassandra"", "" d3.j"", "" dagster"", "" dbt"", "" gcp"", "" gitlab"", "" hadoop"", "" java"", "" kafka"", "" liquibase"", "" mongodb"", "" mysql"", "" postgresql"", "" power bi"", "" python"", "" redshift"", "" spark"", "" tableau"", "" terraform"", ""sql""]",2
"["" angular"", "" css"", "" docker"", "" html"", "" html5"", "" j2ee"", "" javascript"", "" jquery"", "" json"", "" oracle pl/sql"", "" rest"", "" soap"", "" spring"", "" spring boo"", "" typescript"", ""java""]",2
"["" asp.net"", "" c#"", "" mvc"", "" oracle"", "".net""]",2
"["" aw"", "" cocoapods"", "" firebase"", "" graphql"", "" ios"", "" objective-c"", "" rxswift"", "" xcode"", ""swift""]",2
"["" aw"", "" gcp"", "" linux"", "" windows"", ""terraform""]",2
"["" aws"", "" cloudformation"", "" cloudtrail"", "" cloudwatch"", "" codebuild"", "" codedeploy"", "" codepipeline"", "" handlebars.js"", "" node"", "" python"", "" sass"", "" svelte"", "" terraform"", "" typescript"", "" vue.j"", ""javascript""]",2
"["" bacne"", ""lon""]",2
"["" bacnet"", "" eikon"", "" exce"", "" lon"", "" modbus"", "" n2"", "" outlook"", "" sitebuilder"", "" snmp"", "" viewbuilder"", "" windows"", "" word"", ""webctrl""]",2
"["" javascript"", "" react"", ""ruby on rails""]",2
"["" json"", "" rest"", "" xm"", ""android""]",2
"["" microsoft 36"", ""slack""]",2
"["".net core"", ""asp.net"", ""c#"", ""c++"", ""emberjs"", ""java"", ""javascript"", ""linux"", ""macos"", ""mongodb"", ""mssql"", ""react"", ""react native"", ""spring framework"", ""vuejs"", ""windows""]",2
"["".net"", "".net 6"", "".net core"", "".net framework"", ""c#"", ""css"", ""gulp"", ""html"", ""javascript"", ""npm"", ""reactjs"", ""sass"", ""sql"", ""typescript"", ""visual studio"", ""websockets""]",2
"["".net"", ""agile scrum"", ""angular"", ""c#"", ""c++"", ""cassandra"", ""docker"", ""gitlab"", ""go"", ""mongodb"", ""mysql"", ""postgresql"", ""progress openedge"", ""ruby"", ""typescript""]",2
"["".net"", ""c#""]",2
"[""a""]",2
"[""agil""]",2
"[""agile"", ""ai"", ""android"", ""clean architecture"", ""cloud"", ""data"", ""ios"", ""mvvm"", ""restful apis"", ""scrum""]",2
"[""agile""]",2
"[""ai"", ""aws cdk"", ""ml"", ""reactjs""]",2
"[""alpine.js"", ""aws"", ""dbt"", ""es6"", ""git"", ""github"", ""heroku"", ""javascript"", ""material-ui"", ""postgresql"", ""react"", ""redis"", ""rspec"", ""ruby on rails"", ""sidekiq"", ""snowflake"", ""sql"", ""tailwind css"", ""webpack""]",2
"[""android"", ""c#"", ""c++"", ""ios"", ""java""]",2
