Techs,Count
"[""javascript"", ""react"", ""ruby""]",29
"[""ansible"", ""bash"", ""centos"", ""debian"", ""docker"", ""git"", ""kubernetes"", ""ldap"", ""linux"", ""netbox"", ""oidc"", ""ovirt"", ""proxmox"", ""puppet"", ""python"", ""ubuntu"", ""vmware""]",6
"[""c++"", ""python""]",6
"[""api"", ""javascript"", ""react""]",5
"[""java""]",5
"[""software""]",5
"[""ai""]",4
"[""android""]",4
"[""aws"", ""cdk"", ""dynamodb"", ""java"", ""typescript""]",4
"[""aws"", ""javascript"", ""node.js"", ""postgresql"", ""reactjs"", ""typescript""]",4
"[""c++"", ""java"", ""python""]",4
"[""cnc""]",4
"[""machine learning""]",4
"[""python""]",4
"[""software development""]",4
"["".net""]",3
"[""angular"", ""css"", ""html"", ""javascript"", ""node.js"", ""react"", ""vue.js""]",3
"[""autocad"", ""revit""]",3
"[""autocad""]",3
"[""aw""]",3
"[""aws"", ""azure"", ""gcp""]",3
"[""aws"", ""c#"", ""c++"", ""java""]",3
"[""c"", ""c++"", ""linux""]",3
"[""c"", ""c++"", ""rust""]",3
"[""c""]",3
"[""c#"", ""c++"", ""java""]",3
"[""c++"", ""java""]",3
"[""c++""]",3
"[""computer science""]",3
"[""css"", ""git"", ""html"", ""javascript"", ""sql""]",3
"[""django"", ""postgres"", ""python"", ""react"", ""redis""]",3
"[""excel""]",3
"[""java"", ""python""]",3
"[""java"", ""sprint boot""]",3
"[""python"", ""sql""]",3
"["".net core"", ""asp.net"", ""c#"", ""c++"", ""emberjs"", ""java"", ""javascript"", ""linux"", ""macos"", ""mongodb"", ""mssql"", ""react"", ""react native"", ""spring framework"", ""vuejs"", ""windows""]",2
"["".net"", "".net 6"", "".net core"", "".net framework"", ""c#"", ""css"", ""gulp"", ""html"", ""javascript"", ""npm"", ""reactjs"", ""sass"", ""sql"", ""typescript"", ""visual studio"", ""websockets""]",2
"["".net"", ""agile scrum"", ""angular"", ""c#"", ""c++"", ""cassandra"", ""docker"", ""gitlab"", ""golang"", ""mongodb"", ""mysql"", ""postgresql"", ""progress openedge"", ""ruby"", ""typescript""]",2
"["".net"", ""asp.net"", ""c#"", ""mvc"", ""oracle""]",2
"["".net"", ""c#""]",2
"[""a""]",2
"[""agil""]",2
"[""agile"", ""ai"", ""android"", ""clean architecture"", ""cloud"", ""data"", ""ios"", ""mvvm"", ""restful apis"", ""scrum""]",2
"[""agile""]",2
"[""ai"", ""aws cdk"", ""ml"", ""reactjs""]",2
"[""ai"", ""azure"", ""cloud"", ""endpoint managemen"", ""networking"", ""security""]",2
"[""ai"", ""ml""]",2
"[""ai"", ""salesforce"", ""servicenow""]",2
"[""airflow"", ""aws"", ""azure"", ""cassandra"", ""d3.j"", ""dagster"", ""dbt"", ""gcp"", ""gitlab"", ""hadoop"", ""java"", ""kafka"", ""liquibase"", ""mongodb"", ""mysql"", ""postgresql"", ""power bi"", ""python"", ""redshift"", ""spark"", ""sql"", ""tableau"", ""terraform""]",2
"[""alpine.js"", ""aws"", ""dbt"", ""es6"", ""git"", ""github"", ""heroku"", ""javascript"", ""material-ui"", ""postgresql"", ""react"", ""redis"", ""rspec"", ""ruby"", ""sidekiq"", ""snowflake"", ""sql"", ""tailwind css"", ""webpack""]",2
"[""android"", ""c#"", ""c++"", ""ios"", ""java""]",2
"[""android"", ""elt"", ""ios"", ""qcat"", ""qpst"", ""qxdm"", ""windows""]",2
"[""android"", ""git"", ""ios"", ""javascript"", ""jenkins"", ""python"", ""web""]",2
"[""android"", ""ios"", ""react""]",2
"[""android"", ""json"", ""rest"", ""xm""]",2
"[""angular"", ""angularjs"", ""aws"", ""git"", ""harness"", ""javascript"", ""jenkins"", ""nosql"", ""python"", ""reactjs"", ""sql"", ""vuejs""]",2
"[""angular"", ""argo"", ""docker"", ""gitops"", ""javascript"", ""jenkins"", ""jira"", ""kubernetes"", ""maven"", ""nextjs"", ""nodejs"", ""reactjs"", ""typescript""]",2
"[""angular"", ""css"", ""docker"", ""html"", ""html5"", ""j2ee"", ""java"", ""javascript"", ""jquery"", ""json"", ""oracle pl/sql"", ""rest"", ""soap"", ""spring"", ""spring boo"", ""typescript""]",2
"[""angular"", ""css"", ""html"", ""java"", ""java script"", ""spring boot""]",2
"[""angular"", ""dockers"", ""easymock"", ""ibm ilog/odm"", ""java"", ""junit"", ""kubernetes"", ""mockito"", ""oracle"", ""pivotal gemfire grid"", ""spring"", ""sql""]",2
"[""angularjs"", ""apache nifi"", ""asp.net"", ""css"", ""git"", ""html"", ""javascript"", ""powerbi"", ""python"", ""react"", ""sql"", ""t-sql"", ""tableau""]",2
