Techs,Count
['Ada'],2
['Amazon Web Services \\ AWS'],15
['Angular'],1
['Apex'],2
['Assembly'],23
['Azure'],10
['Bash'],1
['C#'],4
['C++'],1
['Cobol'],3
['Crystal'],3
['Docker'],2
['Express'],5
['Flutter'],1
['Fortran'],1
['Go'],23
['Google Cloud \\ GCP'],6
['H'],4
['HTML \\ CSS'],5
['Java'],14
['JS \\ javascript'],1
['Kubernetes'],1
['MATLAB'],2
['Oracle'],3
['Phoenix'],1
['PHP'],2
['PowerShell'],2
['PYTHON'],23
['R'],12
['React'],6
['Render'],1
['SQL'],17
['Swift'],2
['VMware'],1
['WordPress'],2
"['Ada', 'Make']",2
"['Amazon Web Services \\ AWS', 'Azure']",7
"['Amazon Web Services \\ AWS', 'Docker']",1
"['Amazon Web Services \\ AWS', 'Express']",1
"['Amazon Web Services \\ AWS', 'Make']",12
"['Apex', 'Make']",3
"['Assembly', 'Crystal']",1
"['Assembly', 'Make']",4
"['Assembly', 'R']",3
"['Azure', 'ASP.NET']",1
"['Azure', 'Google Cloud \\ GCP']",1
"['Azure', 'Make']",6
"['Bash', 'Azure']",1
"['C#', 'Java']",2
"['C#', 'Make']",2
"['C#', 'R']",1
"['C#', 'SQL']",1
"['C++', 'C']",77
"['C++', 'React']",1
"['Cobol', 'H']",1
"['Crystal', 'Make']",1
"['Dart', 'Flutter']",1
"['Dynamodb', 'Amazon Web Services \\ AWS']",1
"['Express', 'Make']",4
"['Go', 'Apex']",1
"['Go', 'Google Cloud \\ GCP']",2
"['Go', 'Make']",20
"['Go', 'MATLAB']",1
"['Go', 'R']",1
"['Go', 'Ruby']",1
"['Go', 'Scala']",1
"['Google Cloud \\ GCP', 'Kubernetes']",1
"['Google Cloud \\ GCP', 'Make']",2
"['Groovy', 'Amazon Web Services \\ AWS']",1
"['H', 'Azure']",1
"['H', 'Make']",4
"['HTML \\ CSS', 'Make']",4
"['HTML \\ CSS', 'PYTHON']",1
"['HTML \\ CSS', 'SQL']",1
"['Java', 'Amazon Web Services \\ AWS']",1
"['Java', 'Angular']",2
"['Java', 'Azure']",3
"['Java', 'Docker']",1
"['Java', 'Gradle']",1
"['Java', 'Kotlin']",3
"['Java', 'Make']",6
"['Java', 'OpenShift']",1
"['Java', 'Oracle']",3
"['Java', 'PostgreSQL']",1
"['Java', 'React']",1
"['Java', 'Spring Boot']",4
"['JS \\ javascript', 'Go']",1
"['JS \\ javascript', 'HTML \\ CSS']",7
"['JS \\ javascript', 'Make']",1
"['JS \\ javascript', 'MySQL']",1
"['JS \\ javascript', 'Node.js']",2
"['JS \\ javascript', 'PYTHON']",2
"['JS \\ javascript', 'React']",2
