Count,Techs,Link
8,"['JS \\ javascript', 'PYTHON', 'Java', 'Go', 'Amazon Web Services \\ AWS', 'Azure', 'Google Cloud \\ GCP', 'Kubernetes']",https://www.randstad.ca/jobs/software-engineer-kong-apim_vancouver_44645566/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
7,"['Java', 'Kotlin', 'Amazon Web Services \\ AWS', 'Google Cloud \\ GCP', 'Spring Boot', 'Docker', 'Kubernetes']",https://ca.linkedin.com/jobs/view/staff-software-engineer-cards-spend-management-at-airwallex-3985504671?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
6,"['PYTHON', 'Java', 'PostgreSQL', 'MySQL', 'Dynamodb', 'Amazon Web Services \\ AWS']",https://ca.indeed.com/viewjob?jk=75619db585f69d2f&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
2,"['R', 'Zephyr']",https://ca.indeed.com/viewjob?jk=1c33c371e1bd072e&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
3,"['PYTHON', 'SQL', 'Amazon Web Services \\ AWS']",https://ca.linkedin.com/jobs/view/data-software-developer-at-bucketlist-rewards-and-recognition-4140300616?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
7,"['PYTHON', 'C++', 'Bash', 'C', 'Docker', 'Make', 'Google Test']",https://ca.indeed.com/viewjob?jk=a58746ee8bc57d48&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
3,"['SQL', 'Snowflake', 'Azure']",https://ca.linkedin.com/jobs/view/data-test-engineer-at-affinity-4124929261?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
8,"['C#', 'SQL', 'PostgreSQL', 'MongoDB', 'Amazon Web Services \\ AWS', 'Azure', 'Angular', 'Pulumi']",https://ca.indeed.com/viewjob?jk=52faef6eb7843915&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
7,"['PYTHON', 'SQL', 'Bash', 'MongoDB', 'React', 'Docker', 'Kubernetes']",https://ca.indeed.com/viewjob?jk=767ec3f275ae7937&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
8,"['JS \\ javascript', 'C#', 'SQL', 'PHP', 'Apex', 'MySQL', 'Azure', 'ASP.NET']",https://ca.indeed.com/viewjob?jk=7b308a5f2abf4bdb&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
7,"['JS \\ javascript', 'HTML \\ CSS', 'C#', 'SQL', 'Amazon Web Services \\ AWS', 'Azure', 'ASP.NET']",https://ca.indeed.com/viewjob?jk=35d96998ef722e34&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
